Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,2018-11-12,25576.2793,25765.96094,25505.33008,25633.17969,25633.17969,1171178800.0,3332.3133597
HSI,2018-11-13,25092.30078,25792.86914,25092.30078,25792.86914,25792.86914,1689989400.0,3353.0729882
HSI,2018-11-14,25874.35938,25874.35938,25489.85938,25654.42969,25654.42969,1431673200.0,3335.0758597000004
HSI,2018-11-15,25862.17969,26127.14063,25611.7207,26103.33984,26103.33984,1534457400.0,3393.4341792
HSI,2018-11-16,26041.56055,26197.31055,25850.03906,26183.5293,26183.5293,1330024100.0,3403.858809
HSI,2018-11-19,26278.86914,26397.39063,26146.39063,26372.0,26372.0,1320040400.0,3428.36
HSI,2018-11-20,26043.50977,26132.28906,25776.2207,25840.33984,25840.33984,1205800000.0,3359.2441792
HSI,2018-11-21,25496.84961,25998.2793,25494.50977,25971.4707,25971.4707,1397423500.0,3376.2911910000003
HSI,2018-11-22,26139.39063,26139.39063,25873.38086,26019.41016,26019.41016,1010983600.0,3382.5233208
HSI,2018-11-23,25950.07031,25983.25,25807.25977,25927.67969,25927.67969,877061500.0,3370.5983597000004
HSI,2018-11-26,26099.34961,26413.75977,26031.90039,26376.17969,26376.17969,1611982200.0,3428.9033597000002
HSI,2018-11-27,26345.36914,26417.83984,26158.9707,26331.96094,26331.96094,1394358800.0,3423.1549222000003
HSI,2018-11-28,26406.67969,26705.30078,26332.66016,26682.56055,26682.56055,1415273800.0,3468.7328715
HSI,2018-11-29,26904.21094,26923.33008,26399.81055,26451.0293,26451.0293,1469593600.0,3438.633809
HSI,2018-11-30,26506.08984,26683.25,26396.61914,26506.75,26506.75,2000815900.0,3445.8775
HSI,2018-12-03,27185.66016,27259.42969,27006.83008,27182.03906,27182.03906,2549703200.0,3533.6650778
HSI,2018-12-04,27119.18945,27260.43945,26984.71094,27260.43945,27260.43945,1880483300.0,3543.8571285000003
HSI,2018-12-05,26745.68945,26914.86914,26745.68945,26819.67969,26819.67969,1330919400.0,3486.5583597000004
HSI,2018-12-06,26349.41992,26381.11914,26016.08984,26156.38086,26156.38086,2123180600.0,3400.3295118
HSI,2018-12-07,26249.81055,26280.66016,26055.7793,26063.75977,26063.75977,2726993500.0,3388.2887701
HSI,2018-12-10,25794.94922,25845.33984,25570.89063,25752.38086,25752.38086,1544284600.0,3347.8095118
HSI,2018-12-11,25623.40039,25861.73047,25623.40039,25771.66992,25771.66992,1190934600.0,3350.3170896
HSI,2018-12-12,26054.00977,26238.73047,26013.35938,26186.71094,26186.71094,1429660600.0,3404.2724222
HSI,2018-12-13,26417.89063,26581.92969,26314.76953,26524.34961,26524.34961,1747235100.0,3448.1654493
HSI,2018-12-14,26219.0,26219.0,26061.4707,26094.78906,26094.78906,1344364100.0,3392.3225778
HSI,2018-12-17,26178.03906,26186.30078,26002.30078,26087.98047,26087.98047,1036879300.0,3391.4374611
HSI,2018-12-18,25903.98047,26152.88086,25713.5,25814.25,25814.25,1449449300.0,3355.8525
HSI,2018-12-19,25860.67969,25925.99023,25784.08984,25865.39063,25865.39063,1430181500.0,3362.5007819
HSI,2018-12-20,25723.5293,25859.82031,25416.88086,25623.5293,25623.5293,1717860300.0,3331.058809
HSI,2018-12-21,25512.30078,25805.60938,25313.75,25753.41992,25753.41992,1935298900.0,3347.9445896
HSI,2018-12-24,25515.40039,25651.38086,25421.42969,25651.38086,25651.38086,1074120100.0,3334.6795118000005
HSI,2018-12-27,25818.81055,25920.63086,25446.80078,25478.88086,25478.88086,1313061500.0,3312.2545118000003
HSI,2018-12-28,25502.33984,25600.25,25416.35938,25504.19922,25504.19922,1224894400.0,3315.5458986
HSI,2018-12-31,25732.51953,25916.23047,25682.66016,25845.69922,25845.69922,826507300.0,3359.9408986
HSI,2019-01-02,25824.43945,25824.43945,25055.26953,25130.34961,25130.34961,1666316400.0,3266.9454493000003
HSI,2019-01-03,25077.67969,25262.21094,24896.86914,25064.35938,25064.35938,1481291700.0,3258.3667194000004
HSI,2019-01-04,24946.11914,25626.0293,24924.73047,25626.0293,25626.0293,1708572100.0,3331.383809
HSI,2019-01-07,26015.83984,26043.64063,25753.46094,25835.69922,25835.69922,1447090300.0,3358.6408986
HSI,2019-01-08,25852.5,25960.89063,25688.5,25875.44922,25875.44922,1578205700.0,3363.8083986
HSI,2019-01-09,26237.28906,26597.07031,26192.65039,26462.32031,26462.32031,2680892000.0,3440.1016403
HSI,2019-01-10,26391.7793,26588.21094,26212.33984,26521.42969,26521.42969,1939043900.0,3447.7858597000004
HSI,2019-01-11,26692.01953,26692.01953,26494.85938,26667.26953,26667.26953,1799353900.0,3466.7450389000005
HSI,2019-01-14,26559.67969,26575.33008,26195.7793,26298.33008,26298.33008,1426017400.0,3418.7829104
HSI,2019-01-15,26518.61914,26838.55078,26427.44922,26830.28906,26830.28906,1822902000.0,3487.9375778
HSI,2019-01-16,26702.92969,26903.7793,26567.51953,26902.09961,26902.09961,1714886500.0,3497.2729493
HSI,2019-01-17,26953.21094,27012.18945,26703.31055,26755.63086,26755.63086,1860541000.0,3478.2320118000002
HSI,2019-01-18,26993.43945,27116.65039,26915.08008,27090.81055,27090.81055,1692701900.0,3521.8053715
HSI,2019-01-21,27134.26953,27323.60938,27084.30078,27196.53906,27196.53906,1640014700.0,3535.5500778
HSI,2019-01-22,27189.40039,27223.69922,26854.66016,27005.44922,27005.44922,1578449700.0,3510.7083986
HSI,2019-01-23,26879.91016,27131.2207,26879.91016,27008.19922,27008.19922,1381999400.0,3511.0658986
HSI,2019-01-24,27075.36914,27120.98047,26889.78906,27120.98047,27120.98047,1323732100.0,3525.7274611
HSI,2019-01-25,27282.88086,27569.18945,27217.75,27569.18945,27569.18945,2264965800.0,3583.9946285000005
HSI,2019-01-28,27695.81055,27790.2207,27462.36914,27576.96094,27576.96094,1705146300.0,3585.0049222000002
HSI,2019-01-29,27397.53906,27575.36914,27328.16992,27531.67969,27531.67969,1821838000.0,3579.1183597000004
HSI,2019-01-30,27571.41016,27642.84961,27369.75,27642.84961,27642.84961,1821894600.0,3593.5704493000003
HSI,2019-01-31,27842.05078,28010.90039,27773.98047,27942.4707,27942.4707,2225282600.0,3632.5211910000003
HSI,2019-02-01,28193.2793,28193.2793,27802.5,27930.74023,27930.74023,1669716900.0,3630.9962299
HSI,2019-02-04,27985.41992,28005.15039,27847.42969,27990.21094,27990.21094,808061300.0,3638.7274222
HSI,2019-02-08,27708.13086,28008.82031,27534.19922,27946.32031,27946.32031,1527669600.0,3633.0216403
HSI,2019-02-11,27927.44922,28143.83984,27847.84961,28143.83984,28143.83984,1384082500.0,3658.6991792000003
HSI,2019-02-12,28093.31055,28219.58984,27983.48047,28171.33008,28171.33008,1492521500.0,3662.2729104
HSI,2019-02-13,28184.86914,28533.35938,28160.46094,28497.58984,28497.58984,1930777700.0,3704.6866792
HSI,2019-02-14,28396.40039,28476.65039,28275.17969,28432.05078,28432.05078,1433724900.0,3696.1666014
HSI,2019-02-15,28241.43945,28256.68945,27845.86914,27900.83984,27900.83984,1781495400.0,3627.1091792
HSI,2019-02-18,28186.75,28412.08008,28186.75,28347.00977,28347.00977,1549943500.0,3685.1112701
HSI,2019-02-19,28440.49023,28488.9707,28208.86914,28228.13086,28228.13086,1653127000.0,3669.6570118000004
HSI,2019-02-20,28404.67969,28599.76953,28357.30078,28514.05078,28514.05078,1928707100.0,3706.8266014000005
HSI,2019-02-21,28450.0,28759.34961,28364.84961,28629.91992,28629.91992,1814520300.0,3721.8895896000004
HSI,2019-02-22,28478.96094,28816.30078,28430.19922,28816.30078,28816.30078,1706490600.0,3746.1191014
HSI,2019-02-25,28975.51953,29009.98047,28763.46094,28959.30078,28959.30078,3517972400.0,3764.7091014000002
HSI,2019-02-26,28971.23047,28971.23047,28700.00977,28772.06055,28772.06055,2758187900.0,3740.3678715
HSI,2019-02-27,28833.16016,29014.18945,28701.4707,28757.43945,28757.43945,2378404200.0,3738.4671285000004
HSI,2019-02-28,28719.71094,28917.49023,28571.13086,28633.17969,28633.17969,2086693500.0,3722.3133597
HSI,2019-03-01,28716.59961,28860.19922,28663.71094,28812.16992,28812.16992,1927040400.0,3745.5820896
HSI,2019-03-04,28855.10938,29241.80078,28760.66992,28959.58984,28959.58984,2682948700.0,3764.7466792
HSI,2019-03-05,28823.16016,29025.78906,28734.81055,28961.59961,28961.59961,1951621500.0,3765.0079493000003
HSI,2019-03-06,29003.25,29122.81055,28938.39063,29037.59961,29037.59961,1794494900.0,3774.8879493000004
HSI,2019-03-07,28965.41992,29007.07031,28772.44922,28779.44922,28779.44922,1691993300.0,3741.3283986
HSI,2019-03-08,28409.14063,28533.75977,28201.08984,28228.41992,28228.41992,2998999600.0,3669.6945896
HSI,2019-03-11,28265.84961,28512.26953,28240.7793,28503.30078,28503.30078,1525534800.0,3705.4291014000005
HSI,2019-03-12,28760.26953,28941.08984,28734.08984,28920.86914,28920.86914,1918047200.0,3759.7129882
HSI,2019-03-13,28924.2793,28924.2793,28690.36914,28807.44922,28807.44922,1183090900.0,3744.9683986
HSI,2019-03-14,28891.06055,28932.4707,28696.31055,28851.39063,28851.39063,1390223200.0,3750.6807819000005
HSI,2019-03-15,28843.85938,29204.73047,28828.25977,29012.25977,29012.25977,1974569100.0,3771.5937701000003
HSI,2019-03-18,29112.43945,29409.00977,29034.13086,29409.00977,29409.00977,1887811300.0,3823.1712701
HSI,2019-03-19,29419.14063,29486.15039,29319.50977,29466.2793,29466.2793,1747657200.0,3830.616309
HSI,2019-03-20,29357.18945,29435.81055,29251.25,29320.9707,29320.9707,1580528500.0,3811.726191
HSI,2019-03-21,29387.75,29446.76953,29051.84961,29071.56055,29071.56055,1750672700.0,3779.3028715
HSI,2019-03-22,29173.33008,29243.09961,28847.33984,29113.35938,29113.35938,1740699100.0,3784.7367194000003
HSI,2019-03-25,28501.36914,28702.24023,28463.10938,28523.34961,28523.34961,2091121900.0,3708.0354493000004
HSI,2019-03-26,28677.75977,28701.59961,28435.06055,28566.91016,28566.91016,1406624800.0,3713.6983208
HSI,2019-03-27,28564.71094,28781.63086,28551.65039,28728.25,28728.25,1475536600.0,3734.6725
HSI,2019-03-28,28663.19922,28816.58984,28558.80078,28775.21094,28775.21094,1582079600.0,3740.7774222000003
HSI,2019-03-29,28812.64063,29100.68945,28761.88086,29051.35938,29051.35938,2695223000.0,3776.6767194000004
HSI,2019-04-01,29383.7207,29612.36914,29383.7207,29562.01953,29562.01953,2475412300.0,3843.0625389
HSI,2019-04-02,29736.99023,29736.99023,29534.41992,29624.66992,29624.66992,1858466500.0,3851.2070896
HSI,2019-04-03,29785.26953,29999.33984,29715.76953,29986.39063,29986.39063,2019434600.0,3898.2307819000002
HSI,2019-04-04,29950.41992,30050.91016,29765.55078,29936.32031,29936.32031,1854467500.0,3891.7216403
HSI,2019-04-08,30119.58008,30185.06055,29913.61914,30077.15039,30077.15039,2321011600.0,3910.0295507
HSI,2019-04-09,30065.99023,30222.01953,30018.98047,30157.49023,30157.49023,2049354000.0,3920.4737299
HSI,2019-04-10,30052.26953,30139.60938,29892.61914,30119.56055,30119.56055,1814064400.0,3915.5428715
HSI,2019-04-11,30138.14063,30184.60938,29783.66992,29839.44922,29839.44922,1897154200.0,3879.1283986
